period,score_type,allocator_type,strategy,start_date,end_date,decision_dates,rankic,annual_return_0p0bps,cumulative_return_0p0bps,sharpe_0p0bps,mdd_0p0bps,annual_return_5p0bps,cumulative_return_5p0bps,sharpe_5p0bps,mdd_5p0bps,annual_return_7p5bps,cumulative_return_7p5bps,sharpe_7p5bps,mdd_7p5bps,annual_return_10p0bps,cumulative_return_10p0bps,sharpe_10p0bps,mdd_10p0bps,turnover_mean,turnover_median,turnover_p95,transaction_cost_drag_annual,transaction_cost_drag_cumulative,effective_n,max_weight_mean,max_weight_absolute,normalized_entropy_mean,csi500_annual_return,annual_excess_return,tracking_error,information_ratio,active_mdd,active_win_rate,cumulative_active_return
stitched,Factor Mean,Top20 EW,FM-Top20,2022-01-04,2026-09-01,1130,0.05077287957280952,0.05845782863451565,0.2901475250456069,0.4224855006366037,0.28117011296009053,0.034792209618778935,0.16574460146286052,0.28740305327945376,0.28958883285103065,0.023157638622979926,0.10811200745494665,0.21983723913339176,0.3039231637607318,0.011653265943629698,0.0533258137520376,0.15225598099898707,0.3185326615436197,0.0897660561286964,0.08340058473574935,0.15374284183056094,0.035300190011535726,0.15215346513814038,99.74070796460177,0.010036555410579356,0.017857142857142856,1.0,0.012407399486588977,0.010750239136390949,0.11393784268540388,0.049756010403747934,0.34618380255359193,0.4946902654867257,-0.0036135414538399635
2022,Factor Mean,Top20 EW,FM-Top20,2022-01-04,2022-12-30,242,0.058633449491812706,-0.08518091407264405,-0.08194323849791318,-0.45086306394083947,0.24760676328919629,-0.10372690655058525,-0.09982355146149302,-0.5738198424168185,0.2518124535392774,-0.11285905162752996,-0.10863328992931476,-0.6353004276797437,0.2539066115805081,-0.12189855922210835,-0.11735720620400603,-0.6967820254013074,0.25599499916923707,0.08124270375416191,0.07487467778664664,0.1335872082727541,0.027678137554885907,0.02949110146276078,99.7107438016529,0.010029217797812838,0.010101010101010102,1.0,-0.184135812187602,0.07127676056007204,0.06927211878923388,1.171261558234451,0.06509127135771253,0.5206611570247934,0.07853480089896081
2023,Factor Mean,Top20 EW,FM-Top20,2023-01-03,2023-12-29,242,0.059739763271090617,-0.0006082327852594549,-0.0005841036140505906,0.04473549535898918,0.13906639821277333,-0.021988372453580096,-0.02112510134049861,-0.16823104438477554,0.14683457489301566,-0.0325070630187696,-0.031237465313885604,-0.2747182396711794,0.15069262949955664,-0.04291312312862472,-0.041245843457354825,-0.3812056439429636,0.15453343057533864,0.08581076486295279,0.08257644077254472,0.14552734321994606,0.031898830233510145,0.03114930764525186,99.97107438016529,0.010002921779781283,0.010101010101010102,0.9999999999999999,-0.09273446518181772,0.060227402163048116,0.05020543097925927,1.2663226419635392,0.04023100723249473,0.5454545454545454,0.06166267806684189
2024,Factor Mean,Top20 EW,FM-Top20,2024-01-02,2024-12-31,242,0.0466864835586822,0.08939756897129314,0.08570228268167446,0.46383849193044463,0.18516323975198268,0.06143590447526659,0.05892754016256241,0.3603068760705521,0.1868828653288418,0.04772416073608188,0.04578764849897432,0.30851029008714176,0.18877484652248255,0.03418875073070904,0.032810042084564506,0.2566934920286666,0.19240031961633386,0.10328809058958491,0.095485317755475,0.17386756293861821,0.04167340823521126,0.03749357688401932,99.98760330578513,0.010001252191334834,0.010101010101010102,0.9999999999999999,0.028115234183516247,0.01960892655256563,0.09558553278214464,0.17121377774720792,0.10275731724160198,0.47520661157024796,0.011401653559011127
2025,Factor Mean,Top20 EW,FM-Top20,2025-01-02,2025-12-31,243,0.04086317584759189,0.2888658873493368,0.2772377291374739,2.136337736688029,0.08674584052370715,0.2595682663710037,0.24922988058827888,1.948639053112143,0.08744924214678562,0.24516905778516462,0.23545607309730965,1.854752947543707,0.0878007655678893,0.23093373883375423,0.22183344413341666,1.7608438405021998,0.08815217077404702,0.09134042378915984,0.08509286800528788,0.14369633823581984,0.0436968295641722,0.03329358447114877,100.0,0.009999999999999998,0.01,0.9999999999999999,0.4222248486230431,-0.17705579083787848,0.09786259183785644,-1.424763976675877,0.15615457353631002,0.4403292181069959,-0.12986446658650053
2026 YTD,Factor Mean,Top20 EW,FM-Top20,2026-01-05,2026-09-01,161,0.046578606686249927,0.02201114194094722,0.01400733664626208,0.22162420514649236,0.14127323808531034,0.00014405546729379104,9.20330437510497e-05,0.0747803094131801,0.14643424978160435,-0.01061448905007556,-0.006794538838836517,0.0013656360262408768,0.14900327421358084,-0.02125801887705303,-0.013634150524514554,-0.07204060315548418,0.15156467422220565,0.08582151004124085,0.0733043639831518,0.1554477411209899,0.03262563099102278,0.020725894674959666,98.67701863354037,0.010206377676235183,0.017857142857142856,1.0,-0.03397887397384747,0.023364384923771908,0.22747367330434531,0.0356890815036363,0.2308768789216461,0.4906832298136646,-0.01122713433644662
stitched,Factor Mean,Softmax T=1,FM-Softmax,2022-01-04,2026-09-01,1130,0.05077287957280952,0.05491229990905366,0.27088159064907247,0.3972673376029944,0.26569199795019316,0.043555773115175,0.2106722641707368,0.3340229049288633,0.27370272382659344,0.037923206872180204,0.1816446965038141,0.3023956533370078,0.28129903298714565,0.03232088846583325,0.1533123350501433,0.2707651858479826,0.2888160600405928,0.042967476129458504,0.03954385429628596,0.06059095028697387,0.01698909303687346,0.07282987203943217,319.09533771008273,0.007102954680819407,0.01246739419156575,0.9546413404190711,0.012407399486588977,0.025515807385591227,0.08286825240606537,0.24887716791294529,0.2661816952750744,0.5079646017699115,0.08016700008708733
2022,Factor Mean,Softmax T=1,FM-Softmax,2022-01-04,2022-12-30,242,0.058633449491812706,-0.0809214429067483,-0.0778386959100068,-0.3986103978351421,0.25323183263826343,-0.09050386122756049,-0.08707364212011837,-0.4589743627303481,0.2553652215985749,-0.09525769770045589,-0.09165652828033422,-0.48915976340876216,0.25642966261209854,-0.099986791143718,-0.09621650938921633,-0.5193474134741488,0.25749260409449404,0.04158288975369602,0.04041275355825007,0.05606406774317718,0.014336254793707592,0.015094588980591656,313.08684244130507,0.00724197191902037,0.010072932262026858,0.9531232342447592,-0.184135812187602,0.08887811448714611,0.04544584553563518,2.2438874048379023,0.02182754726876235,0.5495867768595041,0.10177098083616598
2023,Factor Mean,Softmax T=1,FM-Softmax,2023-01-03,2023-12-29,242,0.059739763271090617,-0.019587226067499186,-0.018817315531539536,-0.14494595582901262,0.12902755697295198,-0.029762775809977993,-0.02859876845822862,-0.24806652582046404,0.13368854917142503,-0.03481104785367917,-0.03345303038542946,-0.29963077827020573,0.13718839530436,-0.03983316573034268,-0.038283143077709525,-0.3511974879527536,0.140674179408245,0.04139855877507243,0.039101684566008585,0.05975324120488329,0.01522382178617998,0.01502767683535129,322.63652992467956,0.007181188406664291,0.009411115176498086,0.9559202001734515,-0.09273446518181772,0.05792341732813855,0.03519951197617913,1.737403993038171,0.029124305859619115,0.5578512396694215,0.059849859293303886
2024,Factor Mean,Softmax T=1,FM-Softmax,2024-01-02,2024-12-31,242,0.0466864835586822,0.06498752794812557,0.062329940491525404,0.37200333677260417,0.18709504126911858,0.053171566248131796,0.05100868051874863,0.3280729951235162,0.1902481459816906,0.047312624311664164,0.04539317027022194,0.3061032681773529,0.1918201632024975,0.041486134712753975,0.03980752760041262,0.2841305200467097,0.19338916463959466,0.04430913962611844,0.04043174794076196,0.07390810274426475,0.017674903636461403,0.016084217684280994,333.24536130588695,0.0068892003980553645,0.009644019815026078,0.9588789435830454,0.028115234183516247,0.019197390128147918,0.057958714604357926,0.28747346276247715,0.05382160533617919,0.4793388429752066,0.014493464965747327
2025,Factor Mean,Softmax T=1,FM-Softmax,2025-01-02,2025-12-31,243,0.04086317584759189,0.3275912733294921,0.31422351082664246,2.243359613395854,0.09444718453964118,0.3140747898180789,0.3013186440733635,2.164636842775559,0.09499555494504397,0.3073680238224361,0.2949136002676538,2.125275585574695,0.09526962467130462,0.3006953435412554,0.2885399440769798,2.0859144787375605,0.09554361743983786,0.040650779643338845,0.03840244344741493,0.054863602872714336,0.020223249507056007,0.014817209179997012,322.2450912644437,0.00678553066784101,0.008345057507207251,0.9549793904822308,0.4222248486230431,-0.114856824800607,0.06878516728861318,-1.3032167947023692,0.10098441084316367,0.4567901234567901,-0.0849131872757567
2026 YTD,Factor Mean,Softmax T=1,FM-Softmax,2026-01-05,2026-09-01,161,0.046578606686249927,0.0094861048896131,0.0060502310890990785,0.13789910460790675,0.12786099994117606,-0.0028710266075683277,-0.0018352190869195262,0.054487830739243966,0.13052562633545806,-0.008993231215635222,-0.0057550434704723985,0.01277295958550378,0.13185492773051555,-0.01507816401954365,-0.009659678547179418,-0.028946753152798845,0.1331822252359255,0.048886871052634416,0.03869539188204034,0.05768498114831389,0.018479336105248323,0.011806179359211213,296.78099929528435,0.0075767921856861875,0.01246739419156575,0.9481211634165486,-0.03397887397384747,0.024985642758212245,0.17583556787840124,0.05575158255014886,0.19462916114408413,0.4906832298136646,-0.003577149195754248
stitched,MLP,Top20 EW,MLP-Top20,2022-01-04,2026-09-01,1130,0.02818378969930481,0.05178646145146004,0.25408229496926515,0.3554403909715306,0.331721120501943,0.01418917351028015,0.06521736861002747,0.1684090728123764,0.3562150232168636,-0.004104767796417552,-0.01827512757482863,0.07487424233290144,0.3751165478411559,-0.022070245447720627,-0.09522973839366322,-0.018670981791608195,0.3934643726228889,0.14447376401855533,0.13519648084531716,0.2274793974098588,0.055891229247877594,0.24488303001145129,99.74070796460177,0.010036555410579356,0.017857142857142856,1.0,0.012407399486588977,-0.01651216728300653,0.07629937857432245,-0.21682899216256504,0.2569158374867665,0.4725663716814159,-0.08352202205282111
