period,score_type,mean_daily_rankic,median_daily_rankic,date_count
stitched,Factor Mean,0.05077287957280952,0.06109911311313811,1130
2022,Factor Mean,0.058633449491812706,0.05861608472834684,242
2023,Factor Mean,0.059739763271090617,0.07973335308703208,242
2024,Factor Mean,0.0466864835586822,0.06280899536339656,242
2025,Factor Mean,0.04086317584759189,0.035736823043677715,243
2026 YTD,Factor Mean,0.046578606686249927,0.05977128434464625,161
stitched,MLP,0.02818378969930481,0.027282616781090646,1130
2022,MLP,0.03438720281165408,0.035458164673289286,242
2023,MLP,0.006656911456584882,0.014682837769403007,242
2024,MLP,0.024519959874263295,0.020153908074140192,242
2025,MLP,0.0412508360243486,0.029315027358085555,243
2026 YTD,MLP,0.03700138673175268,0.04002883081830451,161
