epoch=0 train_loss=-0.001736 validation_loss=-0.007565 validation_return=0.007586 IR=0.3119 Sharpe=4.9509 MDD=0.9353 selected_factors=2.29 selected_stocks=484.69
epoch=1 train_loss=-0.003563 validation_loss=-0.007529 validation_return=0.007671 IR=0.2891 Sharpe=4.5899 MDD=0.8459 selected_factors=7.49 selected_stocks=355.93
epoch=2 train_loss=-0.006411 validation_loss=-0.007517 validation_return=0.007583 IR=0.2827 Sharpe=4.4878 MDD=0.9058 selected_factors=14.48 selected_stocks=88.23
epoch=3 train_loss=-0.007049 validation_loss=-0.007501 validation_return=0.007532 IR=0.2773 Sharpe=4.4023 MDD=0.9053 selected_factors=15.26 selected_stocks=70.51
epoch=4 train_loss=-0.007266 validation_loss=-0.007676 validation_return=0.007705 IR=0.2836 Sharpe=4.5023 MDD=0.8788 selected_factors=15.57 selected_stocks=69.22
epoch=5 train_loss=-0.007510 validation_loss=-0.007835 validation_return=0.007856 IR=0.2900 Sharpe=4.6030 MDD=0.8771 selected_factors=15.94 selected_stocks=68.76
epoch=6 train_loss=-0.007506 validation_loss=-0.007756 validation_return=0.007773 IR=0.2876 Sharpe=4.5659 MDD=0.8870 selected_factors=16.53 selected_stocks=68.12
epoch=7 train_loss=-0.007437 validation_loss=-0.008038 validation_return=0.008048 IR=0.2950 Sharpe=4.6831 MDD=0.8795 selected_factors=16.46 selected_stocks=68.04
epoch=8 train_loss=-0.007498 validation_loss=-0.008203 validation_return=0.008217 IR=0.3036 Sharpe=4.8190 MDD=0.8712 selected_factors=16.74 selected_stocks=67.89
epoch=9 train_loss=-0.007373 validation_loss=-0.008008 validation_return=0.008036 IR=0.2939 Sharpe=4.6659 MDD=0.8941 selected_factors=17.07 selected_stocks=67.70
epoch=10 train_loss=-0.007904 validation_loss=-0.008296 validation_return=0.008327 IR=0.3073 Sharpe=4.8786 MDD=0.8738 selected_factors=16.90 selected_stocks=67.66
epoch=11 train_loss=-0.007510 validation_loss=-0.008230 validation_return=0.008241 IR=0.3021 Sharpe=4.7957 MDD=0.8721 selected_factors=16.96 selected_stocks=67.66
epoch=12 train_loss=-0.007879 validation_loss=-0.008392 validation_return=0.008414 IR=0.3034 Sharpe=4.8158 MDD=0.8757 selected_factors=19.12 selected_stocks=67.26
epoch=13 train_loss=-0.007694 validation_loss=-0.008733 validation_return=0.008755 IR=0.3151 Sharpe=5.0027 MDD=0.8652 selected_factors=18.33 selected_stocks=67.39
